Tempo (s),DC Current (V),DC Current (A),Torque (Nm),Speed (rpm),Temp Mos 1 (ºC),Temp Mos 2 (ºC),Temp Motor (ºC),Temp do sensor capacitivo (ºC),Velocidade atual (km/h),km total,km atual,Driving Mode,Brake Switch,,Data (DD/MM/AA):,18,11,24,,Hora inicio:,,,Hora Fim:,
25.638,75.1,0,0,-1,17,17,24,17,0,0,0,ECO,ON,,,,,,,,,,,
25.888,75.1,0,0,-1,17,17,24,17,0,0,0,ECO,ON,,,,,,,,,,,
26.138,75.1,0,0,-1,17,17,24,17,0,0,0,ECO,ON,,,,,,,,,,,
26.388,75.1,0,0,-1,17,17,24,17,0,0,0,ECO,ON,,,,,,,,,,,
26.638,75.1,0,0,-1,17,17,24,17,0,0,0,ECO,ON,,,,,,,,,,,
26.888,75.2,0,0,-1,17,17,23,17,0,0,0,ECO,OFF,,,,,,,,,,,
27.138,75.1,0,0,-3,17,17,23,17,0,0,0,ECO,OFF,,,,,,,,,,,
27.388,75.1,0,0,-1,17,17,23,17,0,0,0,ECO,OFF,,,,,,,,,,,
27.638,75.1,0,0,0,17,17,24,17,0,0,0,ECO,OFF,,,,,,,,,,,
27.888,75.1,0,0,-1,17,17,24,17,0,0,0,ECO,OFF,,,,,,,,,,,
28.138,75.1,0,0,-1,17,17,22,17,0,0,0,ECO,OFF,,,,,,,,,,,
28.388,75.0,0.2,37.04,0,17,17,25,17,0,0,0,ECO,OFF,,,,,,,,,,,
28.638,75.0,-936.8,43.35,-1,17,17,26,17,0,0,0,ECO,OFF,,,,,,,,,,,
28.888,75.0,0,33.28,0,17,17,25,17,0,0,0,ECO,OFF,,,,,,,,,,,
29.138,75.0,1.1,77.46,2,17,17,26,17,0,0,0,ECO,OFF,,,,,,,,,,,
29.388,74.8,5.6,79.62,63,17,17,26,17,5,0,0,ECO,OFF,,,,,,,,,,,
29.638,74.9,3.3,78.35,-932,17,17,26,17,1,0,0,ECO,OFF,,,,,,,,,,,
29.888,75.0,0,0,34,17,17,26,17,2,0,0,ECO,OFF,,,,,,,,,,,
30.138,75.0,0,0,-930,17,17,26,17,2,0,0,ECO,OFF,,,,,,,,,,,
30.388,75.0,0,0,-930,17,17,26,17,2,0,0,ECO,OFF,,,,,,,,,,,
30.638,75.0,1.4,-279.32,-932,17,17,26,17,1,0,0,ECO,OFF,,,,,,,,,,,
30.888,75.0,2.4,42.4,-928,17,17,26,17,2,0,0,ECO,OFF,,,,,,,,,,,
31.138,75.0,1.6,27.98,36,17,17,26,17,2,0,0,ECO,OFF,,,,,,,,,,,
31.388,74.9,3.7,49.66,40,17,17,26,17,3,0,0,ECO,OFF,,,,,,,,,,,
31.638,74.8,6.8,73.4,48,17,17,26,17,3,0,0,ECO,OFF,,,,,,,,,,,
31.888,75.0,0,0,51,17,17,26,17,4,0,0,ECO,OFF,,,,,,,,,,,
32.138,75.0,0,0,51,17,17,26,17,4,0,0,ECO,OFF,,,,,,,,,,,
32.388,75.0,0,0,49,17,17,26,17,4,0,0,ECO,OFF,,,,,,,,,,,
32.638,75.0,1.9,24,47,17,17,26,17,3,0,0,ECO,OFF,,,,,,,,,,,
32.888,75.0,3.7,39.29,53,17,17,26,17,4,0,0,ECO,OFF,,,,,,,,,,,
33.138,75.0,3.7,38.6,56,17,17,26,17,4,0,0,ECO,OFF,,,,,,,,,,,
33.388,74.9,4.4,38.6,59,17,17,26,17,5,0,0,ECO,OFF,,,,,,,,,,,
33.638,75.0,4.1,36.07,62,17,17,26,17,5,0,0,ECO,OFF,,,,,,,,,,,
33.888,75.0,3.3,-279.48,65,17,17,26,17,5,0,0,ECO,OFF,,,,,,,,,,,
34.138,75.0,0,0,65,17,17,26,17,5,0,0,ECO,OFF,,,,,,,,,,,
34.388,75.0,0,0,63,17,17,26,17,5,0,0,ECO,OFF,,,,,,,,,,,
34.638,75.0,0,0,62,17,17,26,17,5,0,0,ECO,OFF,,,,,,,,,,,
34.888,75.0,0,0,63,17,17,26,17,5,0,0,ECO,ON,,,,,,,,,,,
35.138,75.0,0,0,55,17,17,26,17,4,0,0,ECO,ON,,,,,,,,,,,
35.388,75.0,0,0,51,17,17,26,17,4,0,0,ECO,ON,,,,,,,,,,,
35.638,75.0,0,0,44,17,17,26,17,3,0,0,ECO,ON,,,,,,,,,,,
35.888,75.0,0,0,43,17,17,26,17,3,0,0,ECO,ON,,,,,,,,,,,
36.138,75.0,0,0,39,17,17,27,17,3,0,0,ECO,ON,,,,,,,,,,,
36.388,75.0,0,0,34,17,17,26,17,2,0,0,ECO,ON,,,,,,,,,,,
36.638,75.0,0,0,34,17,17,26,17,2,0,0,ECO,OFF,,,,,,,,,,,
36.888,75.0,0,0,36,17,17,26,17,2,0,0,ECO,ON,,,,,,,,,,,
37.138,75.0,0,0,35,17,17,26,17,2,0,0,ECO,OFF,,,,,,,,,,,
37.388,75.0,0,0,36,17,17,26,17,2,0,0,ECO,OFF,,,,,,,,,,,
37.638,75.0,1.9,28.82,41,17,17,26,17,3,0,0,ECO,OFF,,,,,,,,,,,
37.888,74.9,4.3,57.77,47,17,17,26,17,3,0,0,ECO,OFF,,,,,,,,,,,
38.138,74.9,8.5,-276.46,60,17,17,26,17,5,0,0,ECO,OFF,,,,,,,,,,,
38.388,74.7,12.1,88.6,69,17,17,26,17,6,0,0,ECO,OFF,,,,,,,,,,,
38.638,74.8,9.1,59.41,77,17,17,26,17,6,0,0,ECO,OFF,,,,,,,,,,,
38.888,75.0,0.5,0,81,17,17,27,17,7,0,0,ECO,OFF,,,,,,,,,,,
39.138,75.0,0,0,82,17,17,26,17,7,0,0,ECO,OFF,,,,,,,,,,,
39.388,75.0,0,0,82,17,17,27,17,7,0,0,ECO,OFF,,,,,,,,,,,
39.638,75.0,0,0,82,17,17,26,17,7,0,0,ECO,OFF,,,,,,,,,,,
39.888,75.0,0,0,81,17,17,26,17,7,0,0,ECO,OFF,,,,,,,,,,,
40.138,75.0,0,0,81,17,17,27,17,7,0,0,ECO,OFF,,,,,,,,,,,
40.388,75.0,0,0,81,17,17,25,17,7,0,0,ECO,OFF,,,,,,,,,,,
40.638,75.0,0,0,84,17,17,27,17,7,0,0,ECO,OFF,,,,,,,,,,,
40.888,75.0,1.7,15.59,83,17,17,27,17,7,0,0,ECO,OFF,,,,,,,,,,,
41.138,74.8,11.9,69.17,87,17,17,26,17,7,0,0,ECO,OFF,,,,,,,,,,,
41.388,74.7,16.2,83.34,101,17,17,26,17,9,0,0,ECO,OFF,,,,,,,,,,,
41.638,74.8,13.1,54.06,106,17,17,26,17,9,0,0,ECO,OFF,,,,,,,,,,,
41.888,75.0,0,0,106,17,17,27,17,9,0,0,ECO,OFF,,,,,,,,,,,
42.138,75.0,0,0,106,17,17,26,17,9,0,0,ECO,OFF,,,,,,,,,,,
42.388,75.0,0,0,106,17,17,26,17,9,0,0,ECO,OFF,,,,,,,,,,,
42.638,75.0,-937,-2.61,101,17,17,26,17,9,0,0,ECO,ON,,,,,,,,,,,
42.888,75.0,-0.1,0,96,17,17,26,17,8,0,0,ECO,ON,,,,,,,,,,,
43.138,75.0,-0.1,0,95,17,17,26,17,8,0,0,ECO,ON,,,,,,,,,,,
43.388,75.0,-0.1,0,86,17,17,26,17,7,0,0,ECO,ON,,,,,,,,,,,
43.638,75.0,-0.1,0,81,17,17,26,17,7,0,0,ECO,ON,,,,,,,,,,,
43.888,75.0,-0.1,0,80,17,17,26,17,7,0,0,ECO,OFF,,,,,,,,,,,
44.138,75.0,-0.1,0,80,17,17,27,17,7,0,0,ECO,OFF,,,,,,,,,,,
44.388,74.6,17.8,101.21,89,17,17,26,17,8,0,0,ECO,OFF,,,,,,,,,,,
44.638,74.7,16.6,91.63,94,17,17,26,17,8,0,0,ECO,OFF,,,,,,,,,,,
44.888,74.5,25.8,117.45,110,17,17,27,17,10,0,0,ECO,OFF,,,,,,,,,,,
45.138,74.2,34.9,145.26,123,17,17,26,17,11,0,0,ECO,OFF,,,,,,,,,,,
45.388,74.3,38,136.02,142,17,17,27,17,13,0,0,ECO,OFF,,,,,,,,,,,
45.638,73.9,54.4,174.48,156,17,17,26,17,15,0,0,ECO,OFF,,,,,,,,,,,
45.888,73.9,61.5,174.48,175,17,17,27,17,16,0,0,ECO,OFF,,,,,,,,,,,
46.138,73.9,68.3,174.48,191,17,17,27,17,18,0,0,ECO,OFF,,,,,,,,,,,
46.388,73.7,73.5,174.48,210,17,17,26,17,20,0,0,ECO,OFF,,,,,,,,,,,
46.638,73.7,78.6,174.48,227,17,17,27,17,22,0,0,ECO,OFF,,,,,,,,,,,
46.888,74.1,85.5,174.48,245,17,17,27,17,24,0,0,ECO,OFF,,,,,,,,,,,
47.138,73.7,92.3,174.48,265,17,17,27,17,26,0,0,ECO,OFF,,,,,,,,,,,
47.388,73.7,99.2,174.48,279,17,17,27,17,27,0,0,ECO,OFF,,,,,,,,,,,
47.638,73.4,104.1,168.66,299,17,17,26,17,29,0,0,ECO,OFF,,,,,,,,,,,
47.888,73.8,102,160.97,312,17,17,27,17,31,0,0,ECO,OFF,,,,,,,,,,,
48.138,73.6,101.8,151.98,329,17,17,27,17,32,0,0,ECO,OFF,,,,,,,,,,,
48.388,73.8,-930.8,147.34,339,17,17,27,18,33,0,0,ECO,OFF,,,,,,,,,,,
48.638,73.7,102.9,142.98,353,18,18,27,18,35,0,0,ECO,OFF,,,,,,,,,,,
48.888,73.9,-930.9,135.67,366,18,18,28,18,36,0,0,ECO,OFF,,,,,,,,,,,
49.138,73.8,-931,132.11,377,18,18,26,18,37,0,0,ECO,OFF,,,,,,,,,,,
49.388,74.8,0,0,375,18,18,28,18,37,0,0,ECO,OFF,,,,,,,,,,,
49.638,74.9,0,0,371,18,18,28,18,37,0,0,ECO,OFF,,,,,,,,,,,
49.888,74.8,0,0,369,18,18,28,18,36,0,0,ECO,OFF,,,,,,,,,,,
50.137,75.1,-18.2,-31.02,365,18,18,28,18,36,0,0,ECO,OFF,,,,,,,,,,,
50.387,75.3,-48.4,-81.38,353,18,18,28,18,36,0,0,ECO,ON,,,,,,,,,,,
